"codigo","referencia","descrição","preço","custo","linha","usuario","comissão","preço_vista","mvista","mprazo","estmin","estmax","fabrica","menor","mmenor","promoção","letras","balança","marca","modelo","cmedio","outros","clas_fiscal","sit_fiscal","saldo","unidade","empresa","nomelinha","auto","subs","ncm","icm","und","aliquota","saldoa","ippt","saldoc","saldoatual","dif","cest","origem","csosn","cfop","idcsosn","idcfop","promox","saldomes","fornecedor","ativo","espec","saldo1","pvista","pprazo","blmargem","encomenda","local","perecivel","venclote"
12631,"12631","Veda Porta inf embut aut 1020mm nat - UDI",134.53,84.08,15,"FABIO",0,134.53,60,60,0,0,"*",117.71,40,0.00,"*","*","*","*",15.70,0,"OK 2023","060",0.00,"*",1,"UDINESE             ",11187,1,"76101000","1200","UND","0000",0.000,"*",0.00,0.00,0.00,"0",0,0,5102,0,0,"*",0.00,4624,0,1,13.00,0.00,0.00,0,0,"*","N","0000-00-00"
173,"173","AL 1335C BC Contra Trinco p/1335 ",12.78,8.52,9,"FINANCEIRO",0,12.78,50,50,10,0,"*",11.08,30,0.00,"*","*","*","*",6.22,0,"OK 2021","060",32.00,"*",1,"AL INDÚSTRIA        ",157,1,"39252000","1800","UND","0000",0.000,"*",25.00,39.00,-2.00,"1001800",0,60,5405,5,3,"*",1242.00,143130,0,1,27.00,0.00,0.00,0,0,"*","N","0000-00-00"
174,"174","AL 1335C NF Contra Trinco p/1335",12.71,8.47,9,"FINANCEIRO",0,12.71,0,0,10,0,"*",8.75,0,0.00,"*","*","*","*",6.22,0,"OK 2021","060",18.00,"*",1,"AL INDÚSTRIA        ",158,1,"39252000","1800","UND","0000",0.000,"*",13.00,37.00,0.00,"1001800",0,0,5102,0,0,"*",4.00,999999,0,1,17.00,0.00,0.00,0,0,"*","N","0000-00-00"
175,"175","AL 1335C BZ Contra Trinco p/1335",12.71,8.47,9,"FINANCEIRO",0,12.71,0,0,10,0,"*",8.75,0,0.00,"*","*","*","*",6.22,0,"OK 2021","060",13.00,"*",1,"AL INDÚSTRIA        ",159,1,"39252000","1800","UND","0000",0.000,"*",18.00,19.00,0.00,"1001800",0,0,5102,0,0,"*",18.00,999999,0,1,13.00,0.00,0.00,0,0,"*","N","0000-00-00"
176,"176","AL 1335C PT Contra Trinco p/1335",12.78,8.52,9,"FINANCEIRO",0,12.78,50,50,10,0,"*",11.08,30,0.00,"*","*","*","*",6.22,0,"OK 2021","060",6.00,"*",1,"AL INDÚSTRIA        ",160,1,"39252000","1800","UND","0000",0.000,"*",-19.00,41.00,0.00,"1001800",0,0,5102,0,0,"*",215.00,143130,0,1,6.00,0.00,0.00,0,0,"*","N","0000-00-00"
189,"189","AL 1402 BC Sup c/Batedeira p/Fix em Band",10.55,7.01,9,"SISTEMA",0,10.55,0,0,10,0,"*",7.23,0,0.00,"*","*","*","*",5.31,0,"OK 2021","060",30.00,"*",1,"AL INDÚSTRIA        ",173,1,"39252000","1800","UND","0000",0.000,"*",33.00,43.00,-2.00,"1001800",0,60,5405,5,3,"*",2028.00,0,0,1,30.00,0.00,0.00,0,0,"*","N","0000-00-00"
190,"190","AL 1402 NF Sup c/Batedeira p/Fix em Band ",10.55,7.01,9,"FINANCEIRO",0,10.55,0,0,10,0,"*",7.23,0,0.00,"*","*","*","*",5.31,0,"OK 2021","060",51.00,"*",1,"AL INDÚSTRIA        ",174,1,"39252000","1800","UND","0000",0.000,"*",50.00,58.00,0.00,"1001800",0,0,5102,0,0,"*",1944.00,999999,0,1,51.00,0.00,0.00,0,0,"*","N","0000-00-00"
191,"191","AL 1402 BZ Sup c/Batedeira p/Fix em Band ",10.55,7.01,9,"FINANCEIRO",0,10.55,0,0,10,0,"*",7.23,0,0.00,"*","*","*","*",5.31,0,"OK 2021","060",93.00,"*",1,"AL INDÚSTRIA        ",175,1,"39252000","1800","UND","0000",0.000,"*",92.00,93.00,0.00,"1001800",0,0,5102,0,0,"*",91.00,999999,0,1,93.00,0.00,0.00,0,0,"*","N","0000-00-00"
192,"192","AL 1402 PT Sup c/Batedeira p/Fix em Band ",10.55,7.01,9,"SISTEMA",0,10.55,0,0,10,0,"*",7.23,0,0.00,"*","*","*","*",5.31,0,"OK 2021","060",22.00,"*",1,"AL PUXADORES        ",176,1,"39252000","1800","UND","0000",0.000,"*",27.00,31.00,0.00,"1001800",0,0,5102,0,0,"*",22.00,0,0,1,22.00,0.00,0.00,0,0,"*","N","0000-00-00"
193,"193","AL 1504 BC Contra Fech p/1520 ",15.86,10.57,9,"FINANCEIRO",0,15.86,0,0,10,0,"*",10.91,0,0.00,"*","*","*","*",7.66,0,"OK 2021","060",23.00,"*",1,"AL INDÚSTRIA        ",177,1,"39252000","1800","UND","0000",0.000,"*",26.00,29.00,-1.00,"1001800",0,60,5405,5,3,"*",303.00,999999,0,1,23.00,0.00,0.00,0,0,"*","N","0000-00-00"
194,"194","AL 1504 NF Contra Fech p/1520 ",15.86,10.57,9,"FINANCEIRO",0,15.86,0,0,10,0,"*",10.91,0,0.00,"*","*","*","*",7.66,0,"OK 2021","060",41.00,"*",1,"AL INDÚSTRIA        ",178,1,"39252000","1800","UND","0000",0.000,"*",44.00,49.00,-1.00,"1001800",0,0,5102,0,0,"*",992.00,999999,0,1,41.00,0.00,0.00,0,0,"*","N","0000-00-00"
195,"195","AL 1504 BZ Contra Fech p/1520 ",15.86,10.57,9,"FINANCEIRO",0,15.86,0,0,10,0,"*",10.91,0,0.00,"*","*","*","*",7.72,0,"OK 2021","060",81.00,"*",1,"AL INDÚSTRIA        ",179,1,"39252000","1800","UND","0000",0.000,"*",112.00,60.00,0.00,"1001800",0,0,5102,0,0,"*",79.00,999999,0,1,81.00,0.00,0.00,0,0,"*","N","0000-00-00"
196,"196","AL 1504 PT Contra Fech p/1520 ",15.86,10.57,9,"FINANCEIRO",0,15.86,0,0,10,0,"*",10.91,0,0.00,"*","*","*","*",7.66,0,"OK 2021","060",48.00,"*",1,"AL INDÚSTRIA        ",180,1,"39252000","1800","UND","0000",0.000,"*",18.00,20.00,0.00,"1001800",0,60,5405,5,3,"*",230.00,999999,0,1,51.00,0.00,0.00,0,0,"*","N","0000-00-00"
197,"197","AL 1504A BC Contra Fech p/1520 Alvenaria ",7.77,5.16,9,"FINANCEIRO",0,7.77,0,0,25,0,"*",5.32,0,0.00,"*","*","*","*",3.12,0,"Ok 2022","060",-13.00,"*",1,"AL INDÚSTRIA        ",181,1,"39252000","1800","UND","0000",0.000,"*",141.00,82.00,-30.00,"1001800",0,60,5405,5,3,"*",3459.00,999999,0,1,0.00,0.00,0.00,0,0,"*","N","0000-00-00"
