"codigo","referencia","descrição","preço","custo","linha","usuario","comissão","preço_vista","mvista","mprazo","estmin","estmax","fabrica","menor","mmenor","promoção","letras","balança","marca","modelo","cmedio","outros","clas_fiscal","sit_fiscal","saldo","unidade","empresa","nomelinha","auto","subs","ncm","icm","und","aliquota","saldoa","ippt","saldoc","saldoatual","dif","cest","origem","csosn","cfop","idcsosn","idcfop","promox","saldomes","fornecedor","ativo","espec","saldo1"
1020,"1020","SM 1511P PT Contra Fechadura p/1510 - Glasspeças",48.62,32.41,47,"FINANCEIRO",0,48.62,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",23.07,0,"OK 2021","060",-10.00,"*",1,"GLASSPEÇAS          ",935,1,"83024100","1800","UND","0000",0.000,"*",38.00,35.00,0.00,"1007400",0,60,5405,5,3,"*",8.00,138135,0,1,0.00
1021,"1021","SM 1511A BC Contra Fechadura p/Alv - Glasspeças",18.77,12.51,47,"FINANCEIRO",0,18.77,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",4.29,0,"OK 2021","060",46.00,"*",1,"GLASSPEÇAS          ",936,1,"83021000","1800","UND","0000",0.000,"*",-1.00,-4.00,98.00,"1007400",0,0,5102,0,0,"*",44.00,138135,0,1,49.00
1023,"1023","SM 1511A CR Contra Fechadura p/Alv - Glasspeças",18.77,12.51,47,"COMPRAS",0,18.77,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",4.29,0,"OK 2021","060",54.00,"*",1,"GLASSPEÇAS          ",938,1,"83024100","1800","UND","0000",0.000,"*",31.00,27.00,0.00,"1007400",0,60,5405,5,3,"*",-1.00,138135,0,1,54.00
1024,"1024","SM 1511A NF Contra Fechadura p/Alv",8.03,5.54,47,"FINANCEIRO",0,8.03,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",4.29,0,"OK 2021","060",5.00,"*",1,"GLASSPEÇAS          ",939,1,"83024100","1800","UND","0000",0.000,"*",13.00,-33.00,50.00,"1007400",0,0,5102,0,0,"*",3.00,138135,0,1,5.00
1025,"1025","SM 1511A PT Contra Fechadura p/Alv ",8.03,5.54,47,"FINANCEIRO",0,8.03,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",4.29,0,"OK 2021","060",-2.00,"*",1,"GLASSPEÇAS          ",940,1,"83024100","1800","UND","0000",0.000,"*",58.00,68.00,0.00,"1007400",0,60,5405,5,3,"*",2.00,138135,0,1,0.00
1036,"1036","SM 1511S BC Contra Fec de Pressão - Glasspeças ",87.30,58.21,47,"FINANCEIRO",0,87.30,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",30.44,0,"OK 2021","060",35.00,"*",1,"GLASSPEÇAS          ",951,1,"83024100","1800","UND","0000",0.000,"*",41.00,42.00,9.00,"1007400",0,60,5405,5,3,"*",-1.00,138135,0,1,35.00
1038,"1038","SM 1511S CR Contra Fec de Pressão - Glasspeças",87.30,58.21,47,"FINANCEIRO",0,87.30,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",30.44,0,"OK 2021","060",15.00,"*",1,"GLASSPEÇAS          ",953,1,"83024100","1800","UND","0000",0.000,"*",4.00,11.00,0.00,"1007400",0,60,5405,0,0,"*",7.00,138135,0,1,15.00
1063,"1063","SM 1520 CR Fechadura p/Porta Abrir - Glasspeças",68.40,45.60,47,"COMPRAS",0,68.40,50,50,20,0,"*",59.28,30,0.00,"*","*","*","*",32.39,0,"OK 2021","000",83.00,"*",1,"GLASSPEÇAS          ",978,0,"83014000","1800","UND","0000",0.000,"*",24.00,120.00,-41.00,"0",0,60,5405,5,3,"*",-41.00,138135,0,1,29.00
1064,"1064","SM 1520 NF Fechadura p/Porta Abrir - Glasspeças",62.18,41.45,47,"FINANCEIRO",0,62.18,50,50,20,0,"*",53.89,30,0.00,"*","*","*","*",32.39,0,"OK 2021","000",6.00,"*",1,"GLASSPEÇAS          ",979,0,"83014000","1800","UND","0000",0.000,"*",13.00,65.00,-3.00,"0",0,60,5405,5,3,"*",0.00,138135,0,1,13.00
1092,"1092","SM 1523 BZ Trinco p/Basculante Central - Glasspeças",14.90,9.91,47,"SISTEMA",0,14.90,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",9.29,0,"OK 2021","060",-9.00,"*",1,"GLASSPEÇAS          ",1007,1,"83024100","1800","UND","0000",0.000,"*",16.00,66.00,-3.00,"1007400",0,60,5405,5,3,"*",0.00,0,0,1,0.00
1093,"1093","SM 1523 CR Trinco p/Bascul Central - Glasspeças",14.90,9.91,47,"FINANCEIRO",0,14.90,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",9.29,0,"OK 2021","060",169.00,"*",1,"GLASSPEÇAS          ",1008,1,"83014000","1800","UND","0000",0.000,"*",176.00,-441.00,520.00,"1007400",0,60,5405,5,3,"*",105.00,138135,0,1,173.00
1094,"1094","SM 1523 NF Trinco p/Basculante Central - Pegeral",20.00,13.80,47,"COMPRAS",0,20.00,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",9.29,0,"OK 2021","060",10.00,"*",1,"GLASSPEÇAS          ",1009,1,"83024100","1800","UND","0000",0.000,"*",16.00,89.00,2.00,"1007400",0,0,5102,0,0,"*",4.00,138135,0,1,13.00
