"codigo","referencia","descrição","preço","custo","linha","usuario","comissão","preço_vista","mvista","mprazo","estmin","estmax","fabrica","menor","mmenor","promoção","letras","balança","marca","modelo","cmedio","outros","clas_fiscal","sit_fiscal","saldo","unidade","empresa","nomelinha","auto","subs","ncm","icm","und","aliquota","saldoa","ippt","saldoc","saldoatual","dif","cest","origem","csosn","cfop","idcsosn","idcfop","promox"
4289,"4289","Antilope 500 Porta D",270.27,195.37,19,"SISTEMA",0,270.27,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",52.64,0,"OK 2021","060",2.00,"*",1,"VIDRO               ",3168,1,"70052100","1800","UND","0000",0.000,"*",5.00,11.00,-4.00,"1003500",0,0,5102,0,0,"*"
4290,"4290","Antilope 500 Fixo",265.23,191.72,19,"SISTEMA",0,265.23,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",52.64,0,"OK 2021","060",0.00,"*",1,"VIDRO               ",3169,1,"70052100","1800","UND","0000",0.000,"*",10.00,17.00,-3.00,"1003500",0,60,5405,5,3,"*"
4293,"4293","Antilope 550 Porta D",297.25,214.90,19,"SISTEMA",0,297.25,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",57.90,0,"OK 2021","060",0.00,"*",1,"VIDRO               ",3172,1,"70052100","1800","UND","0000",0.000,"*",7.00,12.00,-1.00,"1003500",0,0,5102,0,0,"*"
4294,"4294","Antilope 550 Fixo",291.73,210.91,19,"SISTEMA",0,291.73,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",57.90,0,"OK 2021","060",0.00,"*",1,"VIDRO               ",3173,1,"70052100","1800","UND","0000",0.000,"*",11.00,18.00,-2.00,"1003500",0,0,5102,0,0,"*"
4297,"4297","Antilope 600 Porta D",324.32,234.45,19,"SISTEMA",0,324.32,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",63.17,0,"OK 2021","060",0.00,"*",1,"VIDRO               ",3176,1,"70052100","1800","UND","0000",0.000,"*",1.00,10.00,-1.00,"1003500",0,60,5405,5,3,"*"
4299,"4299","Antilope 650 Porta D",351.30,253.99,19,"SISTEMA",0,351.30,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",68.43,0,"OK 2021","060",0.00,"*",1,"VIDRO               ",3178,1,"70071900","1800","UND","0000",0.000,"*",8.00,13.00,-1.00,"1003600",0,60,5405,5,3,"*"
4302,"4302","Antilope 600 Fixo",318.22,230.08,19,"SISTEMA",0,318.22,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",63.17,0,"OK 2021","060",0.00,"*",1,"VIDRO               ",3180,1,"70071900","1800","UND","0000",0.000,"*",3.00,18.00,-3.00,"1003600",0,60,5405,5,3,"*"
4304,"4304","Antilope 650 Fixo",344.78,249.24,19,"SISTEMA",0,344.78,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",68.43,0,"OK 2021","060",0.00,"*",1,"VIDRO               ",3182,1,"70071900","1800","UND","0000",0.000,"*",4.00,11.00,-3.00,"1003600",0,60,5405,5,3,"*"
4324,"4324","Antilope 700 Porta D",378.29,273.52,19,"SISTEMA",0,378.29,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",73.69,0,"OK 2021","060",0.00,"*",1,"VIDRO               ",3202,1,"70052100","1800","UND","0000",0.000,"*",3.00,8.00,-1.00,"1003500",0,60,5405,5,3,"*"
4326,"4326","Antilope 700 Fixo",371.28,268.42,19,"SISTEMA",0,371.28,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",73.69,0,"OK 2021","060",0.00,"*",1,"VIDRO               ",3204,1,"70052100","1800","UND","0000",0.000,"*",5.00,13.00,-1.00,"1003500",0,60,5405,5,3,"*"
